,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao
262,2024-07-13 01:53:00,131.25,131.23,131.282,131.23,306784,40083456.0,1720806780,,,,,,,,,,,97.91583748732873,103.09040478871681,0.2202857142857145,3.31576768669467,19.134101835551007
263,2024-07-13 01:54:00,131.25,131.12,131.25,131.11,374704,48912384.0,1720806840,,,,,,,,,,,95.64670296653034,103.09040478871681,0.2202857142857145,3.31576768669467,16.27891350460628
264,2024-07-13 01:55:00,131.15,131.16,131.185,131.15,277568,36192256.0,1720806900,,,,,,,,,,,94.4486419189316,104.94382159083199,0.21578571428571333,3.31576768669467,5.268400693767851
265,2024-07-13 01:56:00,131.101,131.155,131.155,131.06,385024,50198528.0,1720806960,,,,,,,,,,,93.26544031166839,104.94382159083199,0.21578571428571333,3.31576768669467,1.0421824768275325
266,2024-07-13 01:57:00,131.14,131.209,131.209,131.14,322528,42145792.0,1720807020,,,,,,,,,,,93.33435973045127,104.94382159083199,0.21578571428571333,3.31576768669467,-2.679541715771329
267,2024-07-13 01:58:00,131.19,131.01,131.222,131.01,553504,72296448.0,1720807080,,,,,,,,,,,89.21836824834631,104.94382159083199,0.21578571428571333,3.31576768669467,-0.19390420560172844
268,2024-07-13 01:59:00,131.025,131.01,131.025,130.98,312704,40853504.0,1720807140,,,,,,,,,,,85.54824709214881,104.94382159083199,0.21578571428571333,3.31576768669467,-15.86959057197798
269,2024-07-13 02:00:00,131.02,131.07,131.07,130.97,361280,47192064.0,1720807200,,,,,,,,,,,83.54015012206767,105.89167817789357,0.21664285714285622,5.8000115834681765,-24.608178783187466
270,2024-07-13 02:01:00,130.95,131.03,131.03,130.89,473392,61849600.0,1720807260,,,,,,,,,,,80.92250895975172,105.89167817789357,0.21664285714285622,5.8000115834681765,-25.083243706326193
271,2024-07-13 02:02:00,131.055,131.03,131.09,131.03,328592,42938368.0,1720807320,,,,,,,,,,,78.60423448988044,105.89167817789357,0.21664285714285622,5.8000115834681765,-27.915800201201233
272,2024-07-13 02:03:00,131.04,131.127,131.15,131.04,202976,26501120.0,1720807380,,,,,,,,,,,78.5896961863074,105.89167817789357,0.21664285714285622,5.8000115834681765,-29.297314565077002
273,2024-07-13 02:04:00,131.13,131.149,131.19,131.085,548000,71669760.0,1720807440,,,,,,,,,,,79.05766619721271,105.89167817789357,0.21664285714285622,5.8000115834681765,-22.715491553226002
274,2024-07-13 02:05:00,131.17,131.255,131.255,131.17,322448,42141696.0,1720807500,,,,,,,,,,,81.71482986104056,107.94166584240062,0.2238571428571439,5.8000115834681765,-15.939235500683195
275,2024-07-13 02:06:00,131.18,131.26,131.26,131.18,402336,52654080.0,1720807560,,,,,,,,,,,84.16109054278661,107.94166584240062,0.2238571428571439,5.8000115834681765,-1.5307747355993502
276,2024-07-13 02:07:00,131.25,131.223,131.25,131.223,236128,30849024.0,1720807620,,,,,,,,,,,85.29138043950343,107.94166584240062,0.2238571428571439,5.8000115834681765,8.210368656339275
277,2024-07-13 02:08:00,131.25,131.2,131.25,131.144,300944,39272448.0,1720807680,,,,,,,,,,,85.46320794929659,107.94166584240062,0.2238571428571439,5.8000115834681765,10.639844590005877
278,2024-07-13 02:09:00,131.19,131.225,131.24,131.19,277888,36298752.0,1720807740,,,,,,,,,,,86.15664874510989,107.94166584240062,0.2238571428571439,5.8000115834681765,9.85067840429654
279,2024-07-13 02:10:00,131.215,131.32,131.32,131.215,397072,51939328.0,1720807800,,,,,,,,,,,88.64728161446507,109.87527611684436,0.22714285714285762,5.8000115834681765,11.47432775900323
280,2024-07-13 02:11:00,131.405,131.44,131.44,131.405,647328,84731904.0,1720807860,,,,,,,,,,,90.86735610681686,109.87527611684436,0.22714285714285762,5.8000115834681765,17.326928304409854
281,2024-07-13 02:12:00,131.41,131.395,131.444,131.395,449520,58869760.0,1720807920,,,,,,,,,,,91.47280636780238,109.87527611684436,0.22714285714285762,5.8000115834681765,20.527821492524453
282,2024-07-13 02:13:00,131.415,131.407,131.433,131.39,400208,52293632.0,1720807980,,,,,,,,,,,92.34004965132553,109.87527611684436,0.22714285714285762,5.8000115834681765,18.05878127689244
283,2024-07-13 02:14:00,131.398,131.411,131.445,131.39,379424,49612800.0,1720808040,,,,,,,,,,,93.15627233869776,109.87527611684436,0.22714285714285762,5.8000115834681765,17.18828156181258
284,2024-07-13 02:15:00,131.455,131.439,131.455,131.425,298592,39067648.0,1720808100,,,,,,,,,,,94.40294097685566,111.40082134359974,0.22392857142857484,5.8000115834681765,16.59588638443128
285,2024-07-13 02:16:00,131.445,131.342,131.445,131.342,332720,43485184.0,1720808160,,,,,,,,,,,92.73635759449081,111.40082134359974,0.22392857142857484,5.8000115834681765,17.47730295402301
286,2024-07-13 02:17:00,131.39,131.405,131.405,131.351,195488,25565184.0,1720808220,,,,,,,,,,,92.91389330289596,111.40082134359974,0.22392857142857484,5.8000115834681765,9.307143652272723
287,2024-07-13 02:18:00,131.405,131.4,131.405,131.35,268784,35090432.0,1720808280,,,,,,,,,,,92.75481830581683,111.40082134359974,0.22392857142857484,5.8000115834681765,9.48581451715563
288,2024-07-13 02:19:00,131.405,131.35,131.42,131.35,277904,36345856.0,1720808340,,,,,,,,,,,90.9139338415543,111.40082134359974,0.22392857142857484,5.8000115834681765,8.982759994277242
